"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Sat Feb 08 14:38:01 GMT 2025","passed","Sat Feb 08 14:38:01 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Sat Feb 08 14:38:01 GMT 2025","passed","Sat Feb 08 14:38:01 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","461","testVerifyTitleSearchBoxLink2","Surefire suite","Sat Feb 08 14:38:22 GMT 2025","passed","Sat Feb 08 14:38:23 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","4","orderMethodsTest","Surefire suite","Sat Feb 08 14:38:01 GMT 2025","passed","Sat Feb 08 14:38:01 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","4","orderMethodsNoDepTest","Surefire suite","Sat Feb 08 14:38:01 GMT 2025","passed","Sat Feb 08 14:38:01 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1714","testVerifyTitleSearchBoxLink","Surefire suite","Sat Feb 08 14:38:19 GMT 2025","passed","Sat Feb 08 14:38:20 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Sat Feb 08 14:38:01 GMT 2025","passed","Sat Feb 08 14:38:01 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Sat Feb 08 14:38:01 GMT 2025","passed","Sat Feb 08 14:38:01 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","14","orderMethodsCycleDepTest","Surefire suite","Sat Feb 08 14:38:00 GMT 2025","passed","Sat Feb 08 14:38:01 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
