"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","orderMethodsForkDownDepTest","Surefire suite","Wed Jan 15 12:28:03 GMT 2025","passed","Wed Jan 15 12:28:03 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","593","testVerifyTitleSearchBoxLink2","Surefire suite","Wed Jan 15 12:28:11 GMT 2025","passed","Wed Jan 15 12:28:11 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","29","orderMethodsCycleDepTest","Surefire suite","Wed Jan 15 12:28:03 GMT 2025","passed","Wed Jan 15 12:28:03 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Wed Jan 15 12:28:03 GMT 2025","passed","Wed Jan 15 12:28:03 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","0","orderMethodsTest","Surefire suite","Wed Jan 15 12:28:03 GMT 2025","passed","Wed Jan 15 12:28:03 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Wed Jan 15 12:28:03 GMT 2025","passed","Wed Jan 15 12:28:03 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Wed Jan 15 12:28:03 GMT 2025","passed","Wed Jan 15 12:28:03 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","717","testVerifyTitleSearchBoxLink","Surefire suite","Wed Jan 15 12:28:09 GMT 2025","passed","Wed Jan 15 12:28:09 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","1","orderMethodsNoDepTest","Surefire suite","Wed Jan 15 12:28:03 GMT 2025","passed","Wed Jan 15 12:28:03 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
