"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","orderMethodsCycleDepTest","Surefire suite","Wed Jan 08 03:03:06 GMT 2025","passed","Wed Jan 08 03:03:06 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Wed Jan 08 03:03:06 GMT 2025","passed","Wed Jan 08 03:03:06 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1105","testVerifyTitleSearchBoxLink","Surefire suite","Wed Jan 08 03:03:10 GMT 2025","passed","Wed Jan 08 03:03:11 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","1","orderMethodsTest","Surefire suite","Wed Jan 08 03:03:06 GMT 2025","passed","Wed Jan 08 03:03:06 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","0","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Wed Jan 08 03:03:06 GMT 2025","passed","Wed Jan 08 03:03:06 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Wed Jan 08 03:03:06 GMT 2025","passed","Wed Jan 08 03:03:06 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","0","orderMethodsForkUpDepTest","Surefire suite","Wed Jan 08 03:03:06 GMT 2025","passed","Wed Jan 08 03:03:06 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Wed Jan 08 03:03:06 GMT 2025","passed","Wed Jan 08 03:03:06 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
