"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","orderMethodsTest","Surefire suite","Wed Jan 15 12:41:16 GMT 2025","passed","Wed Jan 15 12:41:16 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","2","orderMethodsForkDownDepTest","Surefire suite","Wed Jan 15 12:41:16 GMT 2025","passed","Wed Jan 15 12:41:16 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","22","orderMethodsCycleDepTest","Surefire suite","Wed Jan 15 12:41:16 GMT 2025","passed","Wed Jan 15 12:41:16 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","278","testVerifyTitleSearchBoxLink2","Surefire suite","Wed Jan 15 12:41:24 GMT 2025","passed","Wed Jan 15 12:41:24 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","1","orderMethodsForkUpDepTest","Surefire suite","Wed Jan 15 12:41:16 GMT 2025","passed","Wed Jan 15 12:41:16 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","2","orderMethodsOneGroupDepTest","Surefire suite","Wed Jan 15 12:41:16 GMT 2025","passed","Wed Jan 15 12:41:16 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","499","testVerifyTitleSearchBoxLink","Surefire suite","Wed Jan 15 12:41:22 GMT 2025","passed","Wed Jan 15 12:41:22 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","2","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Wed Jan 15 12:41:16 GMT 2025","passed","Wed Jan 15 12:41:16 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Wed Jan 15 12:41:16 GMT 2025","passed","Wed Jan 15 12:41:16 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
