"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Sat Feb 08 15:04:00 GMT 2025","passed","Sat Feb 08 15:04:00 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1404","testVerifyTitleSearchBoxLink","Surefire suite","Sat Feb 08 15:04:21 GMT 2025","passed","Sat Feb 08 15:04:22 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","18","orderMethodsCycleDepTest","Surefire suite","Sat Feb 08 15:04:00 GMT 2025","passed","Sat Feb 08 15:04:00 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Sat Feb 08 15:04:00 GMT 2025","passed","Sat Feb 08 15:04:00 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Sat Feb 08 15:04:00 GMT 2025","passed","Sat Feb 08 15:04:00 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","583","testVerifyTitleSearchBoxLink2","Surefire suite","Sat Feb 08 15:04:24 GMT 2025","passed","Sat Feb 08 15:04:25 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","1","orderMethodsForkDownDepTest","Surefire suite","Sat Feb 08 15:04:00 GMT 2025","passed","Sat Feb 08 15:04:00 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","0","orderMethodsOneGroupDepTest","Surefire suite","Sat Feb 08 15:04:00 GMT 2025","passed","Sat Feb 08 15:04:00 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsTest","Surefire suite","Sat Feb 08 15:04:00 GMT 2025","passed","Sat Feb 08 15:04:00 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
