"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Feb 14 22:34:15 GMT 2025","passed","Fri Feb 14 22:34:15 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","26","orderMethodsCycleDepTest","Surefire suite","Fri Feb 14 22:34:14 GMT 2025","passed","Fri Feb 14 22:34:15 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","623","testVerifyTitleSearchBoxLink2","Surefire suite","Fri Feb 14 22:34:32 GMT 2025","passed","Fri Feb 14 22:34:33 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","1","orderMethodsTest","Surefire suite","Fri Feb 14 22:34:15 GMT 2025","passed","Fri Feb 14 22:34:15 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsNoDepTest","Surefire suite","Fri Feb 14 22:34:15 GMT 2025","passed","Fri Feb 14 22:34:15 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Feb 14 22:34:15 GMT 2025","passed","Fri Feb 14 22:34:15 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1088","testVerifyTitleSearchBoxLink","Surefire suite","Fri Feb 14 22:34:29 GMT 2025","passed","Fri Feb 14 22:34:31 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Feb 14 22:34:15 GMT 2025","passed","Fri Feb 14 22:34:15 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Feb 14 22:34:15 GMT 2025","passed","Fri Feb 14 22:34:15 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
