"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","orderMethodsCycleDepTest","Surefire suite","Sat Apr 05 14:46:05 GMT 2025","passed","Sat Apr 05 14:46:05 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Sat Apr 05 14:46:05 GMT 2025","passed","Sat Apr 05 14:46:05 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Sat Apr 05 14:46:05 GMT 2025","passed","Sat Apr 05 14:46:05 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Sat Apr 05 14:46:05 GMT 2025","passed","Sat Apr 05 14:46:05 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Sat Apr 05 14:46:05 GMT 2025","passed","Sat Apr 05 14:46:05 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","29","testVerifyTitleSearchBoxLink","Surefire suite","Sat Apr 05 14:46:05 GMT 2025","passed","Sat Apr 05 14:46:05 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","0","orderMethodsTest","Surefire suite","Sat Apr 05 14:46:05 GMT 2025","passed","Sat Apr 05 14:46:05 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","0","orderMethodsOneGroupDepTest","Surefire suite","Sat Apr 05 14:46:05 GMT 2025","passed","Sat Apr 05 14:46:05 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
