"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Wed Jan 08 02:51:54 GMT 2025","passed","Wed Jan 08 02:51:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","16","orderMethodsCycleDepTest","Surefire suite","Wed Jan 08 02:51:54 GMT 2025","passed","Wed Jan 08 02:51:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Wed Jan 08 02:51:54 GMT 2025","passed","Wed Jan 08 02:51:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Wed Jan 08 02:51:54 GMT 2025","passed","Wed Jan 08 02:51:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","0","orderMethodsForkUpDepTest","Surefire suite","Wed Jan 08 02:51:54 GMT 2025","passed","Wed Jan 08 02:51:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Wed Jan 08 02:51:54 GMT 2025","passed","Wed Jan 08 02:51:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","653","testVerifyTitleSearchBoxLink","Surefire suite","Wed Jan 08 02:51:59 GMT 2025","failed","Wed Jan 08 02:52:00 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","1","orderMethodsTest","Surefire suite","Wed Jan 08 02:51:54 GMT 2025","passed","Wed Jan 08 02:51:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
