"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsTest","Surefire suite","Wed Jan 15 12:09:18 GMT 2025","passed","Wed Jan 15 12:09:18 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","428","testVerifyTitleSearchBoxLink","Surefire suite","Wed Jan 15 12:09:24 GMT 2025","passed","Wed Jan 15 12:09:24 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","23","orderMethodsCycleDepTest","Surefire suite","Wed Jan 15 12:09:18 GMT 2025","passed","Wed Jan 15 12:09:18 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","315","testVerifyTitleSearchBoxLink2","Surefire suite","Wed Jan 15 12:09:26 GMT 2025","passed","Wed Jan 15 12:09:26 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","4","orderMethodsForkDownDepTest","Surefire suite","Wed Jan 15 12:09:18 GMT 2025","passed","Wed Jan 15 12:09:18 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Wed Jan 15 12:09:18 GMT 2025","passed","Wed Jan 15 12:09:18 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Wed Jan 15 12:09:18 GMT 2025","passed","Wed Jan 15 12:09:18 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Wed Jan 15 12:09:18 GMT 2025","passed","Wed Jan 15 12:09:18 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","6","orderMethodsNoDepTest","Surefire suite","Wed Jan 15 12:09:18 GMT 2025","passed","Wed Jan 15 12:09:18 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
