"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","745","testVerifyTitleSearchBoxLink","Surefire suite","Sat Feb 15 13:07:54 GMT 2025","passed","Sat Feb 15 13:07:54 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","576","testVerifyTitleSearchBoxLink2","Surefire suite","Sat Feb 15 13:07:56 GMT 2025","passed","Sat Feb 15 13:07:57 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","5","orderMethodsNoDepTest","Surefire suite","Sat Feb 15 13:07:48 GMT 2025","passed","Sat Feb 15 13:07:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Sat Feb 15 13:07:48 GMT 2025","passed","Sat Feb 15 13:07:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","36","orderMethodsCycleDepTest","Surefire suite","Sat Feb 15 13:07:48 GMT 2025","passed","Sat Feb 15 13:07:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Sat Feb 15 13:07:48 GMT 2025","passed","Sat Feb 15 13:07:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Sat Feb 15 13:07:48 GMT 2025","passed","Sat Feb 15 13:07:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","2","orderMethodsTest","Surefire suite","Sat Feb 15 13:07:48 GMT 2025","passed","Sat Feb 15 13:07:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","7","orderMethodsOneGroupDepTest","Surefire suite","Sat Feb 15 13:07:48 GMT 2025","passed","Sat Feb 15 13:07:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
