"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","orderMethodsCycleDepTest","Surefire suite","Fri Feb 14 22:19:36 GMT 2025","passed","Fri Feb 14 22:19:36 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Feb 14 22:19:37 GMT 2025","passed","Fri Feb 14 22:19:37 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Feb 14 22:19:37 GMT 2025","passed","Fri Feb 14 22:19:37 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","296","testVerifyTitleSearchBoxLink2","Surefire suite","Fri Feb 14 22:19:49 GMT 2025","passed","Fri Feb 14 22:19:49 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","1","orderMethodsTest","Surefire suite","Fri Feb 14 22:19:37 GMT 2025","passed","Fri Feb 14 22:19:37 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","8","orderMethodsForkUpDepTest","Surefire suite","Fri Feb 14 22:19:37 GMT 2025","passed","Fri Feb 14 22:19:37 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","609","testVerifyTitleSearchBoxLink","Surefire suite","Fri Feb 14 22:19:47 GMT 2025","passed","Fri Feb 14 22:19:47 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Feb 14 22:19:37 GMT 2025","passed","Fri Feb 14 22:19:37 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Fri Feb 14 22:19:37 GMT 2025","passed","Fri Feb 14 22:19:37 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
