"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsForkUpDepTest","Surefire suite","Sat Feb 15 12:50:59 GMT 2025","passed","Sat Feb 15 12:50:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","259","testVerifyTitleSearchBoxLink2","Surefire suite","Sat Feb 15 12:51:27 GMT 2025","passed","Sat Feb 15 12:51:28 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","1","orderMethodsNoDepTest","Surefire suite","Sat Feb 15 12:50:59 GMT 2025","passed","Sat Feb 15 12:50:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Sat Feb 15 12:50:59 GMT 2025","passed","Sat Feb 15 12:50:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1","orderMethodsTest","Surefire suite","Sat Feb 15 12:50:59 GMT 2025","passed","Sat Feb 15 12:50:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","2297","testVerifyTitleSearchBoxLink","Surefire suite","Sat Feb 15 12:51:23 GMT 2025","passed","Sat Feb 15 12:51:25 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","16","orderMethodsCycleDepTest","Surefire suite","Sat Feb 15 12:50:59 GMT 2025","passed","Sat Feb 15 12:50:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","0","orderMethodsOneGroupDepTest","Surefire suite","Sat Feb 15 12:50:59 GMT 2025","passed","Sat Feb 15 12:50:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","0","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Sat Feb 15 12:50:59 GMT 2025","passed","Sat Feb 15 12:50:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
