"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Tue Jan 21 18:36:46 GMT 2025","passed","Tue Jan 21 18:36:46 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","33","orderMethodsCycleDepTest","Surefire suite","Tue Jan 21 18:36:46 GMT 2025","passed","Tue Jan 21 18:36:46 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsTest","Surefire suite","Tue Jan 21 18:36:46 GMT 2025","passed","Tue Jan 21 18:36:46 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Tue Jan 21 18:36:46 GMT 2025","passed","Tue Jan 21 18:36:46 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Tue Jan 21 18:36:46 GMT 2025","passed","Tue Jan 21 18:36:46 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","538","testVerifyTitleSearchBoxLink","Surefire suite","Tue Jan 21 18:36:53 GMT 2025","passed","Tue Jan 21 18:36:53 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","1","orderMethodsNoDepTest","Surefire suite","Tue Jan 21 18:36:46 GMT 2025","passed","Tue Jan 21 18:36:46 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Tue Jan 21 18:36:46 GMT 2025","passed","Tue Jan 21 18:36:46 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","295","testVerifyTitleSearchBoxLink2","Surefire suite","Tue Jan 21 18:36:55 GMT 2025","passed","Tue Jan 21 18:36:55 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
