"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","orderMethodsCycleDepTest","Surefire suite","Mon Feb 17 12:18:36 GMT 2025","passed","Mon Feb 17 12:18:36 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Mon Feb 17 12:18:36 GMT 2025","passed","Mon Feb 17 12:18:36 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1240","testVerifyTitleSearchBoxLink","Surefire suite","Mon Feb 17 12:19:03 GMT 2025","passed","Mon Feb 17 12:19:04 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","1","orderMethodsTest","Surefire suite","Mon Feb 17 12:18:36 GMT 2025","passed","Mon Feb 17 12:18:36 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","0","orderMethodsNoDepTest","Surefire suite","Mon Feb 17 12:18:36 GMT 2025","passed","Mon Feb 17 12:18:36 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","282","testVerifyTitleSearchBoxLink2","Surefire suite","Mon Feb 17 12:19:07 GMT 2025","passed","Mon Feb 17 12:19:07 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","0","orderMethodsForkUpDepTest","Surefire suite","Mon Feb 17 12:18:36 GMT 2025","passed","Mon Feb 17 12:18:36 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Mon Feb 17 12:18:36 GMT 2025","passed","Mon Feb 17 12:18:36 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","2","orderMethodsForkDownDepTest","Surefire suite","Mon Feb 17 12:18:36 GMT 2025","passed","Mon Feb 17 12:18:36 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
