"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","orderMethodsTest","Surefire suite","Sat Feb 08 20:43:33 GMT 2025","passed","Sat Feb 08 20:43:33 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","27","orderMethodsCycleDepTest","Surefire suite","Sat Feb 08 20:43:33 GMT 2025","passed","Sat Feb 08 20:43:33 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","6","orderMethodsOneGroupDepTest","Surefire suite","Sat Feb 08 20:43:33 GMT 2025","passed","Sat Feb 08 20:43:33 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","822","testVerifyTitleSearchBoxLink2","Surefire suite","Sat Feb 08 20:43:42 GMT 2025","failed","Sat Feb 08 20:43:43 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","5","orderMethodsForkDownDepTest","Surefire suite","Sat Feb 08 20:43:33 GMT 2025","passed","Sat Feb 08 20:43:33 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1001","testVerifyTitleSearchBoxLink","Surefire suite","Sat Feb 08 20:43:39 GMT 2025","passed","Sat Feb 08 20:43:40 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","5","orderMethodsForkUpDepTest","Surefire suite","Sat Feb 08 20:43:33 GMT 2025","passed","Sat Feb 08 20:43:33 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","6","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Sat Feb 08 20:43:33 GMT 2025","passed","Sat Feb 08 20:43:33 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Sat Feb 08 20:43:33 GMT 2025","passed","Sat Feb 08 20:43:33 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
