"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","orderMethodsOneGroupDepTest","Surefire suite","Sat Feb 08 16:56:11 GMT 2025","passed","Sat Feb 08 16:56:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Sat Feb 08 16:56:11 GMT 2025","passed","Sat Feb 08 16:56:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","643","testVerifyTitleSearchBoxLink2","Surefire suite","Sat Feb 08 16:56:19 GMT 2025","passed","Sat Feb 08 16:56:20 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","16","orderMethodsCycleDepTest","Surefire suite","Sat Feb 08 16:56:11 GMT 2025","passed","Sat Feb 08 16:56:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Sat Feb 08 16:56:11 GMT 2025","passed","Sat Feb 08 16:56:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Sat Feb 08 16:56:11 GMT 2025","passed","Sat Feb 08 16:56:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","718","testVerifyTitleSearchBoxLink","Surefire suite","Sat Feb 08 16:56:17 GMT 2025","passed","Sat Feb 08 16:56:17 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","1","orderMethodsTest","Surefire suite","Sat Feb 08 16:56:11 GMT 2025","passed","Sat Feb 08 16:56:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","3","orderMethodsNoDepTest","Surefire suite","Sat Feb 08 16:56:11 GMT 2025","passed","Sat Feb 08 16:56:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
