"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsNoDepTest","Surefire suite","Mon Feb 17 12:05:59 GMT 2025","passed","Mon Feb 17 12:05:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Mon Feb 17 12:05:59 GMT 2025","passed","Mon Feb 17 12:05:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","474","testVerifyTitleSearchBoxLink","Surefire suite","Mon Feb 17 12:06:05 GMT 2025","passed","Mon Feb 17 12:06:05 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","1","orderMethodsForkUpDepTest","Surefire suite","Mon Feb 17 12:05:59 GMT 2025","passed","Mon Feb 17 12:05:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","43","orderMethodsCycleDepTest","Surefire suite","Mon Feb 17 12:05:58 GMT 2025","passed","Mon Feb 17 12:05:58 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","316","testVerifyTitleSearchBoxLink2","Surefire suite","Mon Feb 17 12:06:07 GMT 2025","passed","Mon Feb 17 12:06:07 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Mon Feb 17 12:05:59 GMT 2025","passed","Mon Feb 17 12:05:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsTest","Surefire suite","Mon Feb 17 12:05:59 GMT 2025","passed","Mon Feb 17 12:05:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Mon Feb 17 12:05:59 GMT 2025","passed","Mon Feb 17 12:05:59 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
