"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Feb 14 21:38:07 GMT 2025","passed","Fri Feb 14 21:38:07 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Feb 14 21:38:07 GMT 2025","passed","Fri Feb 14 21:38:07 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","0","orderMethodsForkDownDepTest","Surefire suite","Fri Feb 14 21:38:07 GMT 2025","passed","Fri Feb 14 21:38:07 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","739","testVerifyTitleSearchBoxLink","Surefire suite","Fri Feb 14 21:38:13 GMT 2025","failed","Fri Feb 14 21:38:13 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Feb 14 21:38:07 GMT 2025","passed","Fri Feb 14 21:38:07 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","15","orderMethodsCycleDepTest","Surefire suite","Fri Feb 14 21:38:07 GMT 2025","passed","Fri Feb 14 21:38:07 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","607","testVerifyTitleSearchBoxLink2","Surefire suite","Fri Feb 14 21:38:15 GMT 2025","failed","Fri Feb 14 21:38:16 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","1","orderMethodsTest","Surefire suite","Fri Feb 14 21:38:07 GMT 2025","passed","Fri Feb 14 21:38:07 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsNoDepTest","Surefire suite","Fri Feb 14 21:38:07 GMT 2025","passed","Fri Feb 14 21:38:07 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
