"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","590","testVerifyTitleSearchBoxLink2","Surefire suite","Sat Feb 08 17:21:12 GMT 2025","passed","Sat Feb 08 17:21:13 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","1","orderMethodsForkDownDepTest","Surefire suite","Sat Feb 08 17:20:54 GMT 2025","passed","Sat Feb 08 17:20:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1554","testVerifyTitleSearchBoxLink","Surefire suite","Sat Feb 08 17:21:09 GMT 2025","passed","Sat Feb 08 17:21:10 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","1","orderMethodsTest","Surefire suite","Sat Feb 08 17:20:54 GMT 2025","passed","Sat Feb 08 17:20:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","25","orderMethodsCycleDepTest","Surefire suite","Sat Feb 08 17:20:54 GMT 2025","passed","Sat Feb 08 17:20:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Sat Feb 08 17:20:54 GMT 2025","passed","Sat Feb 08 17:20:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Sat Feb 08 17:20:54 GMT 2025","passed","Sat Feb 08 17:20:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Sat Feb 08 17:20:54 GMT 2025","passed","Sat Feb 08 17:20:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Sat Feb 08 17:20:54 GMT 2025","passed","Sat Feb 08 17:20:54 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
