"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsForkDownDepTest","Surefire suite","Sat Feb 08 16:05:48 GMT 2025","passed","Sat Feb 08 16:05:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","2","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Sat Feb 08 16:05:48 GMT 2025","passed","Sat Feb 08 16:05:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","899","testVerifyTitleSearchBoxLink","Surefire suite","Sat Feb 08 16:06:07 GMT 2025","passed","Sat Feb 08 16:06:08 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","312","testVerifyTitleSearchBoxLink2","Surefire suite","Sat Feb 08 16:06:10 GMT 2025","passed","Sat Feb 08 16:06:10 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","19","orderMethodsCycleDepTest","Surefire suite","Sat Feb 08 16:05:48 GMT 2025","passed","Sat Feb 08 16:05:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Sat Feb 08 16:05:48 GMT 2025","passed","Sat Feb 08 16:05:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsTest","Surefire suite","Sat Feb 08 16:05:48 GMT 2025","passed","Sat Feb 08 16:05:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsNoDepTest","Surefire suite","Sat Feb 08 16:05:48 GMT 2025","passed","Sat Feb 08 16:05:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","0","orderMethodsOneGroupDepTest","Surefire suite","Sat Feb 08 16:05:48 GMT 2025","passed","Sat Feb 08 16:05:48 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
