"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsNoDepTest","Surefire suite","Sat Feb 08 16:44:11 GMT 2025","passed","Sat Feb 08 16:44:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Sat Feb 08 16:44:11 GMT 2025","passed","Sat Feb 08 16:44:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Sat Feb 08 16:44:11 GMT 2025","passed","Sat Feb 08 16:44:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1901","testVerifyTitleSearchBoxLink","Surefire suite","Sat Feb 08 16:44:30 GMT 2025","passed","Sat Feb 08 16:44:32 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","443","testVerifyTitleSearchBoxLink2","Surefire suite","Sat Feb 08 16:44:34 GMT 2025","passed","Sat Feb 08 16:44:34 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","1","orderMethodsTest","Surefire suite","Sat Feb 08 16:44:11 GMT 2025","passed","Sat Feb 08 16:44:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Sat Feb 08 16:44:11 GMT 2025","passed","Sat Feb 08 16:44:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","2","orderMethodsForkDownDepTest","Surefire suite","Sat Feb 08 16:44:11 GMT 2025","passed","Sat Feb 08 16:44:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","24","orderMethodsCycleDepTest","Surefire suite","Sat Feb 08 16:44:11 GMT 2025","passed","Sat Feb 08 16:44:11 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
