"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","orderMethodsCycleDepTest","Surefire suite","Sat Feb 08 15:27:21 GMT 2025","passed","Sat Feb 08 15:27:21 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Sat Feb 08 15:27:22 GMT 2025","passed","Sat Feb 08 15:27:22 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Sat Feb 08 15:27:22 GMT 2025","passed","Sat Feb 08 15:27:22 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Sat Feb 08 15:27:22 GMT 2025","passed","Sat Feb 08 15:27:22 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","862","testVerifyTitleSearchBoxLink","Surefire suite","Sat Feb 08 15:27:37 GMT 2025","passed","Sat Feb 08 15:27:38 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","602","testVerifyTitleSearchBoxLink2","Surefire suite","Sat Feb 08 15:27:39 GMT 2025","passed","Sat Feb 08 15:27:40 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Sat Feb 08 15:27:22 GMT 2025","passed","Sat Feb 08 15:27:22 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","4","orderMethodsForkUpDepTest","Surefire suite","Sat Feb 08 15:27:22 GMT 2025","passed","Sat Feb 08 15:27:22 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsTest","Surefire suite","Sat Feb 08 15:27:22 GMT 2025","passed","Sat Feb 08 15:27:22 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
