"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Sat Feb 08 20:59:32 GMT 2025","passed","Sat Feb 08 20:59:32 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Sat Feb 08 20:59:32 GMT 2025","passed","Sat Feb 08 20:59:32 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","16","orderMethodsCycleDepTest","Surefire suite","Sat Feb 08 20:59:32 GMT 2025","passed","Sat Feb 08 20:59:32 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","0","orderMethodsNoDepTest","Surefire suite","Sat Feb 08 20:59:32 GMT 2025","passed","Sat Feb 08 20:59:32 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Sat Feb 08 20:59:32 GMT 2025","passed","Sat Feb 08 20:59:32 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Sat Feb 08 20:59:32 GMT 2025","passed","Sat Feb 08 20:59:32 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1606","testVerifyTitleSearchBoxLink","Surefire suite","Sat Feb 08 20:59:38 GMT 2025","passed","Sat Feb 08 20:59:40 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink"
"","744","testVerifyTitleSearchBoxLink2","Surefire suite","Sat Feb 08 20:59:42 GMT 2025","failed","Sat Feb 08 20:59:42 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testVerifyTitleSearchBoxLink2"
"","0","orderMethodsTest","Surefire suite","Sat Feb 08 20:59:32 GMT 2025","passed","Sat Feb 08 20:59:32 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
